name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12163,0.0,4973,1,108,-1.5024,-0.4896,1,0.4461,0.0,0.1538,0.1905,0.0568,1.0,1.9163
37535,0.0,4770,2,127,0.4555,-0.8006,0,0.6737,0.0,0.7692,0.4007,0.1051,0.4,1.8403
43643,0.0,2898,2,94,1.4776,0.3416,1,0.4491,0.2,0.0,0.6173,0.2017,0.0,1.9163
14664,0.0,6183,1,41,-0.8078,-0.1456,0,0.2665,0.0,1.0,-1.3215,1.0,0.0,0.6171
18527,0.0,5905,2,61,1.2837,0.2846,0,0.2395,0.9,0.1538,0.1916,0.0256,0.0,-0.8569
24370,0.0,1922,2,137,0.3458,-0.5613,0,0.5988,0.2,1.0,0.5095,0.1648,0.0,0.1232
7746,0.0,3531,1,13,-0.7757,-0.0419,1,0.1796,1.0,0.8376,-1.3182,0.1108,0.0,-0.8569
24408,0.0,9609,2,95,0.6634,-0.8322,1,0.2365,0.1,1.0,0.725,0.983,0.0,0.8146
14563,0.0,6846,2,202,1.344,-0.3494,1,0.2365,0.1,1.0,0.4028,0.2784,0.0,-0.8569
16871,0.0,1222,2,35,-0.2857,-0.9806,0,0.4491,0.0,1.0,-0.8915,0.375,1.0,0.5715
5321,0.0,6005,2,202,1.3695,-0.3008,0,0.4042,0.4,0.906,0.5095,0.1193,0.0,-0.8113
10431,0.0,5386,2,95,0.5872,-0.9342,1,0.2545,0.1,1.0,0.6173,0.4233,0.0,-0.5606
26067,0.0,5934,1,182,-1.1187,-0.9102,1,0.2665,0.3,1.0,0.725,0.3778,0.8,1.5288
46508,0.0,2024,2,202,1.2791,-0.183,1,0.2545,0.1,1.0,-1.3215,0.2557,0.0,1.6731
46122,0.0,373,2,209,0.1176,-1.3865,0,0.3593,1.0,0.4615,1.4837,0.0597,0.0,-0.8569
31168,0.0001,403,1,214,-0.3793,0.0246,0,0.4192,0.1,1.0,1.2639,0.3381,0.0,-0.5074
32087,0.0001,4557,1,80,-0.687,-0.4754,0,0.6437,0.1,1.0,1.1561,0.4858,0.0,1.582
11718,0.0001,2687,2,34,0.2397,-1.1072,1,0.4192,0.0,1.0,-1.7525,0.5994,0.0,-0.7657
22045,0.0001,88,1,51,-0.9779,0.2041,0,0.2964,0.2,0.906,0.5095,1.0,0.0,-0.6973
22517,0.0001,9672,2,61,1.253,0.1555,0,0.5689,0.6,0.0,0.6173,0.2017,0.4,1.0349
43557,0.0001,1853,1,214,-0.1939,-0.0752,0,0.8952,0.2,0.1538,1.1626,0.017,0.0,-0.8569
9937,0.0001,6188,1,151,-0.8899,-0.6175,1,0.3892,0.1,1.0,-1.7525,0.3068,1.0,1.7795
9940,0.0001,6188,1,151,-0.9047,-0.6426,1,0.2395,0.0,0.6667,-1.759,0.1023,1.0,1.9087
9938,0.0001,6188,1,151,-0.9024,-0.6609,1,0.3293,0.1,1.0,-1.6448,0.1705,1.0,1.4528
27342,0.0001,7598,1,13,-0.8342,0.3858,0,0.3593,0.1,1.0,0.1862,0.2045,0.4,0.9134
42047,0.0001,3800,1,216,-1.3456,-0.5665,1,0.1796,0.0,0.3248,0.6173,0.3864,0.4,-0.2111
27543,0.0001,2016,2,103,2.5571,0.7647,1,0.2395,0.3,0.0,0.6173,0.2017,0.0,-0.8569
28160,0.0001,10388,2,95,0.7051,-0.8431,0,0.4491,0.9,0.9915,-0.4583,0.1364,0.0,-0.287
36853,0.0001,9581,2,103,2.507,0.9101,1,0.1317,0.2,1.0,-0.2449,0.3125,0.8,1.506
28350,0.0001,2254,2,64,0.005,-0.8456,0,0.5389,1.0,0.4957,0.184,0.0653,0.0,-0.3478
47144,0.0001,9803,2,94,1.7253,0.0923,1,0.1497,0.2,1.0,-1.7536,0.5767,0.8,1.8403
38518,0.0001,10199,2,94,1.5519,-0.0065,1,0.1557,0.1,1.0,-0.3526,0.4006,0.0,1.0805
25719,0.0001,608,1,91,-0.1243,0.4583,1,0.1647,0.3,1.0,-0.2449,0.4659,0.8,1.3008
46964,0.0001,9803,2,94,1.7041,0.0339,1,0.1497,0.2,1.0,-1.7525,0.6705,0.8,1.8707
24244,0.0001,655,1,13,-0.8454,-0.0084,1,0.2096,0.0,1.0,-0.5693,0.1847,0.4,1.1869
26235,0.0,5934,1,182,-1.1113,-0.9105,1,0.2665,0.3,1.0,0.4017,0.3977,0.8,1.7263
12341,0.0,10763,1,13,-0.741,0.3083,1,0.1048,1.0,0.0,0.6173,0.2017,0.0,1.9163
17079,0.0002,10502,1,28,-0.4994,0.7358,0,0.2545,0.1,1.0,0.5095,0.554,0.4,-0.6897
13767,0.0002,3961,1,74,-1.6955,-0.2414,1,0.4491,0.0,0.0,0.6173,0.2017,0.0,1.9163
26382,0.0,1222,2,119,-0.2752,-0.9479,2,0.1198,0.0,1.0,-1.3215,0.5114,1.0,0.5715
17797,0.0002,2797,2,64,-0.1112,-0.752,1,0.2036,0.1,1.0,0.4017,0.5881,0.4,-0.1275
6228,0.0002,43,1,182,-1.2203,-0.6884,0,0.3593,0.2,0.2564,1.0473,0.108,0.0,1.7643
1178,0.0002,11123,1,80,-0.594,-0.5842,1,0.3593,0.6,0.4274,1.3749,0.0625,0.0,1.506
46060,0.0001,2169,2,202,1.1283,-0.6778,1,0.4042,0.3,1.0,-0.1371,0.1932,0.0,1.2173
4806,0.0002,2749,2,94,1.5279,0.263,0,0.4491,0.6,1.0,-0.4604,0.2358,0.0,1.4908
18664,0.0002,8540,1,159,-1.2819,-0.2171,0,0.4491,1.0,0.188,-1.3226,0.1364,0.0,-0.1351
587,0.0002,8049,3,117,0.3465,0.1916,1,0.3892,0.2,1.0,-1.7525,0.6364,0.0,0.7766
10930,0.0002,131,1,13,-0.8822,-0.0406,0,0.3293,0.6,1.0,0.8317,0.1449,0.0,1.1565
47015,0.0002,4770,1,13,-0.8004,0.3689,0,0.3443,0.2,0.188,-1.759,0.0256,0.0,-0.8569
19393,0.0002,326,1,80,-0.692,-0.5275,1,0.2395,0.2,1.0,-0.0293,0.3267,0.4,0.6019
7761,0.0002,4453,1,13,-0.8947,0.4114,1,0.2395,0.0,1.0,-0.1371,0.2841,0.8,1.0501
14035,0.0002,5111,2,202,1.0593,-0.4271,0,0.4521,0.1,1.0,-1.1059,0.1761,0.0,1.4376
112,0.0002,4526,1,214,-0.4562,0.5134,0,0.6826,0.2,1.0,-0.0304,0.196,0.0,0.2068
21203,0.0002,4705,1,91,0.1131,0.0137,0,0.4311,0.1,1.0,1.2639,0.7983,0.0,0.921
5456,0.0002,3409,2,112,0.1971,-0.7179,0,0.5988,0.6,0.3248,0.8296,0.0597,0.0,1.0957
46224,0.0002,4929,1,214,-0.3711,-0.1331,0,0.4491,1.0,1.0,0.5095,0.2528,0.0,-0.6289
20791,0.0002,1289,2,119,-0.164,-0.9989,1,0.3293,0.4,0.3248,0.0773,0.0455,0.0,1.43
7254,0.0002,6345,2,95,0.4867,-1.0504,1,0.2066,0.1,1.0,-0.8915,0.7045,0.4,1.3768
36403,0.0001,608,1,91,-0.0907,0.4512,1,0.1467,0.3,1.0,-1.4303,0.3352,0.8,1.5744
8494,0.0002,10165,2,178,-0.126,-1.1819,0,0.5389,1.0,0.359,1.2639,0.0824,0.0,0.3132
45616,0.0002,2145,1,214,-0.3151,-0.2078,1,0.2395,0.1,0.7179,1.3716,0.1051,0.0,1.1413
41787,0.0002,8267,2,34,0.3192,-1.1151,0,1.0,1.0,0.0855,-1.5327,0.0313,0.0,0.5107
1577,0.0002,2183,2,201,0.7697,0.0473,0,0.7485,0.1,1.0,1.3684,0.1591,0.4,0.8982
12757,0.0002,2578,1,158,-0.9375,-0.2689,0,0.5988,1.0,1.0,0.9352,0.375,0.4,1.3996
17576,0.0002,8170,1,41,-0.7181,-0.3671,1,0.1647,0.6,0.4615,1.3749,0.0625,0.4,1.3616
46738,0.0002,6765,2,95,0.5694,-1.003,1,0.1557,1.0,1.0,-0.1382,0.4659,0.0,0.5943
25452,0.0002,9175,1,151,-1.0238,-0.7899,0,0.6737,0.2,0.0684,0.7283,0.0426,0.0,-0.8569
42352,0.0002,8653,2,64,-0.045,-0.6715,1,0.2395,0.0,1.0,-1.7525,1.0,0.4,-0.3098
21332,0.0002,2267,1,214,-0.3615,-0.3682,0,0.8234,0.0,1.0,0.6173,0.3949,0.0,1.8935
24632,0.0,1697,2,64,-0.1097,-0.827,1,0.2964,0.0,1.0,0.4017,0.3551,0.4,1.6959
38276,0.0002,8806,2,61,1.3414,0.4147,0,0.6737,0.3,1.0,0.6173,0.4631,0.0,0.7766
25986,0.0002,705,2,64,-0.1348,-0.6999,0,0.6886,0.8,0.8376,-0.3537,0.1193,0.0,0.0245
13527,0.0002,3034,2,95,0.6363,-0.9337,1,0.1527,0.6,0.3932,-1.7536,0.1193,0.0,-0.1883
21327,0.0003,10488,2,206,1.8902,0.3675,1,0.1946,0.1,0.8376,0.0784,0.4517,0.4,1.6959
4924,0.0003,3601,1,41,-0.8388,-0.2542,1,0.3144,0.1,1.0,0.9406,0.2585,0.0,1.4528
11006,0.0003,5077,2,64,-0.012,-0.9162,0,0.5689,0.4,0.359,-1.6512,0.054,0.0,0.845
27673,0.0003,10675,2,201,0.7328,0.1048,1,0.5988,0.0,1.0,-1.2137,0.4233,0.0,1.5896
25535,0.0003,5215,3,220,0.3958,1.3934,1,0.2096,1.0,0.4274,1.4783,0.0597,0.0,1.6047
19386,0.0003,1329,1,80,-0.6591,-0.4978,1,0.2844,0.2,1.0,-0.1371,0.3608,0.0,0.146
5884,0.0003,2189,2,34,0.2297,-1.297,1,0.4491,0.2,1.0,1.155,0.4659,0.0,1.3844
14105,0.0003,6361,1,214,-0.3208,-0.1827,1,0.4341,0.2,1.0,0.5073,0.1506,1.0,0.9514
40065,0.0003,9994,2,94,1.8489,0.0835,0,0.3293,1.0,0.9231,0.614,0.1364,0.0,0.731
18453,0.0003,4922,2,119,-0.1922,-0.941,0,0.8533,0.4,1.0,1.3716,0.1733,0.0,1.6351
