gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0.0,0.0,1.0,0.0,-1.2774,0.0,1,0,0,2,0,0,0,0,0,1.0,2,-1.1603,-0.9942,0.0
1.0,0.0,0.0,0.0,0.0663,1.0,0,0,2,0,2,0,0,0,1,0.0,3,-0.2596,-0.1732,0.0
1.0,0.0,0.0,0.0,-1.2367,1.0,0,0,2,2,0,0,0,0,0,1.0,3,-0.3627,-0.9597,1.0
1.0,0.0,0.0,0.0,0.5143,0.0,1,0,2,0,2,2,0,0,1,0.0,0,-0.7465,-0.1948,0.0
0.0,0.0,0.0,0.0,-1.2367,1.0,0,1,0,0,0,0,0,0,0,1.0,2,0.1974,-0.9405,1.0
0.0,0.0,0.0,0.0,-0.9924,1.0,2,1,0,0,2,0,2,2,0,1.0,2,1.1595,-0.6452,1.0
1.0,0.0,0.0,1.0,-0.4223,1.0,2,1,0,2,0,0,2,0,0,1.0,1,0.8089,-0.1468,0.0
0.0,0.0,0.0,0.0,-0.911,0.0,1,0,2,0,0,0,0,0,0,0.0,3,-1.1636,-0.8741,0.0
0.0,0.0,1.0,0.0,-0.178,1.0,2,1,0,0,2,2,2,2,0,1.0,2,1.3307,0.3373,1.0
1.0,0.0,0.0,1.0,1.2065,1.0,0,0,2,2,0,0,0,0,1,0.0,0,-0.2862,0.5324,0.0
1.0,0.0,1.0,1.0,-0.7888,1.0,0,0,2,0,0,0,0,0,0,1.0,3,-0.4923,-0.7481,0.0
1.0,0.0,0.0,0.0,-0.6666,1.0,0,2,1,1,1,1,1,1,2,0.0,1,-1.5226,-0.8631,0.0
1.0,0.0,1.0,0.0,1.0436,1.0,2,1,0,0,2,0,2,2,1,0.0,1,1.1828,1.5007,0.0
